                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2285,                0.95852,                   1.43,                0.85476,                0.66652,                0.74949,                0.45324,                 1.4513,                0.94906,                 1.6851,             0.00047414,             0.00047414,             0.00047414
                      2,                 1.2743,                0.99005,                 1.4559,                0.84861,                0.65292,                0.73281,                0.42909,                 1.5116,                 1.0176,                 1.7472,             0.00093165,             0.00093165,             0.00093165
                      3,                 1.3126,                 1.0463,                 1.4888,                0.81072,                0.61903,                0.69111,                0.39483,                 1.5627,                 1.1599,                 1.8178,              0.0013703,              0.0013703,              0.0013703
                      4,                 1.3522,                 1.0866,                 1.5135,                0.81076,                0.62484,                0.70148,                0.39215,                 1.6252,                 1.1597,                 1.8345,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.3519,                 1.0943,                 1.5174,                0.83454,                0.64179,                0.72295,                0.41778,                 1.5376,                  1.044,                 1.7653,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.3471,                 1.0847,                 1.5084,                0.81501,                0.62949,                0.70934,                0.40722,                 1.5688,                  1.079,                 1.8057,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.3303,                 1.0728,                  1.505,                0.79885,                0.61806,                0.68544,                0.38601,                 1.6256,                 1.1689,                 1.8382,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.3308,                 1.0598,                 1.4949,                0.78125,                0.61439,                0.67746,                0.37135,                 1.6289,                 1.1709,                 1.8428,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.3159,                  1.054,                 1.4855,                0.81729,                0.64893,                0.72612,                0.42109,                 1.5141,                 1.0171,                 1.7563,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.3065,                 1.0433,                 1.4801,                0.83812,                0.66079,                0.73669,                0.43356,                 1.4974,                  1.014,                   1.74,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.3119,                 1.0319,                 1.4883,                0.82921,                0.66168,                0.72787,                0.41435,                 1.5621,                 1.0263,                 1.7939,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.3077,                 1.0401,                 1.4788,                0.82595,                0.63834,                0.71537,                0.41933,                 1.5148,                 1.0431,                 1.7616,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.2845,                 1.0086,                   1.47,                  0.828,                0.66157,                0.73125,                0.42788,                 1.5072,                0.98886,                 1.7427,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.2844,                 1.0048,                 1.4669,                0.83135,                0.66617,                0.73716,                0.43535,                 1.4922,                 1.0043,                 1.7219,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.2714,                0.99356,                 1.4609,                0.86413,                0.65749,                0.73764,                0.43055,                 1.5123,                0.99249,                  1.741,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.2633,                 0.9743,                 1.4479,                0.83897,                0.66482,                0.73813,                0.44143,                  1.493,                 1.0013,                 1.7265,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.2548,                0.96278,                 1.4441,                 0.8612,                0.67822,                0.75435,                0.45059,                 1.4722,                0.95876,                 1.7174,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.2403,                0.95855,                 1.4374,                 0.8757,                0.65855,                0.74874,                0.44837,                  1.463,                0.96052,                 1.6997,               0.000948,               0.000948,               0.000948
                     19,                 1.2436,                0.95297,                 1.4368,                0.85086,                 0.6715,                0.74432,                0.44477,                 1.4722,                0.96541,                 1.7174,              0.0009197,              0.0009197,              0.0009197
                     20,                  1.229,                 0.9304,                 1.4192,                 0.8494,                0.66485,                0.74465,                0.44447,                 1.4846,                0.94669,                 1.7276,             0.00089141,             0.00089141,             0.00089141
                     21,                  1.234,                0.94931,                 1.4294,                0.87006,                 0.6745,                0.75682,                0.45335,                 1.4552,                0.93075,                 1.6888,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.2385,                0.94632,                 1.4302,                0.85961,                0.67986,                 0.7562,                0.46665,                 1.4287,                0.92869,                 1.6719,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.2266,                 0.9378,                 1.4212,                0.87148,                0.65665,                0.75422,                0.45878,                 1.4492,                0.95105,                 1.6822,             0.00080653,             0.00080653,             0.00080653
                     24,                 1.2161,                 0.9241,                 1.4163,                0.86861,                0.68061,                 0.7603,                0.46604,                 1.4129,                0.91926,                 1.6635,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.2174,                0.92047,                 1.4148,                0.86932,                0.68267,                0.76378,                0.47224,                  1.411,                0.89666,                 1.6547,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.1998,                0.90574,                 1.4015,                0.86224,                0.68042,                0.75771,                0.46871,                 1.4145,                0.90922,                 1.6771,             0.00072164,             0.00072164,             0.00072164
                     27,                  1.198,                0.90108,                 1.4015,                0.86911,                0.69405,                0.76835,                0.47691,                 1.3929,                0.87735,                 1.6463,             0.00069335,             0.00069335,             0.00069335
                     28,                 1.1867,                0.89615,                 1.3896,                0.87264,                  0.688,                 0.7721,                0.48256,                 1.3781,                0.88029,                 1.6364,             0.00066506,             0.00066506,             0.00066506
                     29,                 1.1946,                0.89595,                 1.3938,                0.86763,                0.69494,                0.76456,                0.47247,                 1.4021,                0.88812,                 1.6587,             0.00063676,             0.00063676,             0.00063676
