                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     30,                 1.1614,                0.87037,                 1.3749,                0.87673,                0.69813,                 0.7777,                0.48443,                  1.376,                0.87165,                 1.6325,             0.00060847,             0.00060847,             0.00060847
                     31,                  1.172,                0.86639,                 1.3735,                0.86826,                0.70173,                0.77492,                0.48608,                 1.3726,                0.86277,                 1.6325,             0.00058017,             0.00058017,             0.00058017
                     32,                 1.1571,                0.86224,                 1.3749,                0.88426,                0.68677,                0.77319,                0.48541,                 1.3716,                0.85749,                 1.6202,             0.00055188,             0.00055188,             0.00055188
                     33,                 1.1468,                0.85322,                 1.3594,                0.86985,                0.69938,                0.77595,                0.48848,                 1.3638,                0.85124,                 1.6262,             0.00052359,             0.00052359,             0.00052359
                     34,                 1.1454,                0.85139,                 1.3619,                0.88246,                0.70218,                0.78048,                0.49398,                 1.3452,                0.83688,                 1.6099,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.1366,                0.84929,                   1.36,                0.88626,                0.70119,                0.78167,                0.49876,                 1.3452,                0.83055,                 1.5995,               0.000467,               0.000467,               0.000467
                     36,                 1.1401,                0.83847,                 1.3584,                0.88902,                0.70019,                0.78117,                0.49754,                 1.3373,                0.82945,                 1.5954,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.1254,                0.82931,                 1.3498,                0.88907,                0.70469,                0.78693,                0.50107,                 1.3397,                0.83996,                 1.5989,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.1147,                0.81928,                 1.3445,                0.88718,                0.69964,                0.78532,                 0.5019,                 1.3302,                0.81798,                 1.5962,             0.00038211,             0.00038211,             0.00038211
                     39,                 1.1082,                0.82018,                 1.3427,                 0.8792,                0.71274,                0.78767,                0.50512,                  1.326,                0.82192,                 1.5897,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.1028,                0.81495,                 1.3359,                0.89224,                0.70512,                0.78573,                0.50516,                 1.3169,                0.81162,                  1.585,             0.00032553,             0.00032553,             0.00032553
                     41,                 1.0506,                0.70485,                 1.3744,                0.89542,                 0.7077,                0.78828,                0.50546,                 1.3204,                0.80882,                 1.5872,             0.00029723,             0.00029723,             0.00029723
                     42,                 1.0288,                 0.6879,                 1.3586,                0.89094,                0.70824,                0.78746,                0.50683,                 1.3064,                0.79907,                 1.5798,             0.00026894,             0.00026894,             0.00026894
                     43,                 1.0126,                 0.6745,                 1.3415,                0.89327,                0.71746,                0.79126,                0.51022,                 1.3085,                0.79138,                 1.5833,             0.00024064,             0.00024064,             0.00024064
                     44,                 1.0055,                0.66881,                 1.3388,                0.90204,                0.71223,                0.79308,                0.51425,                 1.3003,                0.78818,                 1.5743,             0.00021235,             0.00021235,             0.00021235
                     45,                0.98703,                0.65093,                 1.3223,                 0.8926,                0.71815,                0.79365,                0.51641,                 1.2965,                0.78268,                 1.5708,             0.00018406,             0.00018406,             0.00018406
                     46,                0.98043,                0.64156,                 1.3156,                0.89666,                0.71432,                0.79401,                0.51719,                 1.2942,                 0.7764,                 1.5748,             0.00015576,             0.00015576,             0.00015576
                     47,                0.97176,                0.64126,                 1.3114,                0.89794,                0.71703,                0.79474,                0.51798,                  1.288,                0.77588,                 1.5645,             0.00012747,             0.00012747,             0.00012747
                     48,                  0.964,                0.63792,                 1.3064,                0.89569,                0.72337,                0.79849,                0.51944,                  1.289,                0.77239,                 1.5695,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.95699,                 0.6241,                 1.2979,                0.89181,                 0.7227,                0.79645,                0.51995,                  1.284,                0.76999,                  1.568,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.95243,                0.62846,                    1.3,                0.89302,                0.72194,                0.79891,                0.52236,                 1.2789,                0.76902,                 1.5616,             4.2584e-05,             4.2584e-05,             4.2584e-05
